per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val,cat_name
44,12,2,0,1,1,0.2,grocery_stores
44,21,2,0,1,1,1.2,food_drink_service
44,11,2,0,1,0,-0.7,food_bev_stores
44,12,2,0,1,0,-0.7,grocery_stores
44,21,2,0,1,0,1.8,food_drink_service
45,11,1,0,1,0,32177,food_bev_stores
45,11,1,0,1,1,32625,food_bev_stores
45,12,1,0,1,0,29378,grocery_stores
45,12,1,0,1,1,29735,grocery_stores
45,21,1,0,1,0,19601,food_drink_service
45,21,1,0,1,1,19640,food_drink_service
45,11,2,0,1,1,0.2,food_bev_stores
45,12,2,0,1,1,0,grocery_stores
45,21,2,0,1,1,-0.4,food_drink_service
45,11,2,0,1,0,-3.3,food_bev_stores
45,12,2,0,1,0,-3.5,grocery_stores
45,21,2,0,1,0,-6.1,food_drink_service
46,11,1,0,1,0,31830,food_bev_stores
46,11,1,0,1,1,32578,food_bev_stores
46,12,1,0,1,0,29068,grocery_stores
46,12,1,0,1,1,29692,grocery_stores
46,21,1,0,1,0,19768,food_drink_service
46,21,1,0,1,1,19611,food_drink_service
46,11,2,0,1,1,-0.1,food_bev_stores
46,12,2,0,1,1,-0.1,grocery_stores
46,21,2,0,1,1,-0.1,food_drink_service
46,11,2,0,1,0,-1.1,food_bev_stores
46,12,2,0,1,0,-1.1,grocery_stores
46,21,2,0,1,0,0.9,food_drink_service
47,11,1,0,1,0,32508,food_bev_stores
47,11,1,0,1,1,32744,food_bev_stores
47,12,1,0,1,0,29619,grocery_stores
47,12,1,0,1,1,29858,grocery_stores
47,21,1,0,1,0,18785,food_drink_service
47,21,1,0,1,1,19609,food_drink_service
47,11,2,0,1,1,0.5,food_bev_stores
47,12,2,0,1,1,0.6,grocery_stores
47,21,2,0,1,1,0,food_drink_service
47,11,2,0,1,0,2.1,food_bev_stores
47,12,2,0,1,0,1.9,grocery_stores
47,21,2,0,1,0,-5,food_drink_service
48,11,1,0,1,0,36510,food_bev_stores
48,11,1,0,1,1,32903,food_bev_stores
48,12,1,0,1,0,32454,grocery_stores
48,12,1,0,1,1,29994,grocery_stores
48,21,1,0,1,0,19939,food_drink_service
48,21,1,0,1,1,19625,food_drink_service
48,11,2,0,1,1,0.5,food_bev_stores
48,12,2,0,1,1,0.5,grocery_stores
48,21,2,0,1,1,0.1,food_drink_service
48,11,2,0,1,0,12.3,food_bev_stores
48,12,2,0,1,0,9.6,grocery_stores
48,21,2,0,1,0,6.1,food_drink_service
49,11,1,0,1,0,31733,food_bev_stores
49,11,1,0,1,1,33085,food_bev_stores
49,12,1,0,1,0,29172,grocery_stores
49,12,1,0,1,1,30105,grocery_stores
49,21,1,0,1,0,17647,food_drink_service
49,21,1,0,1,1,19564,food_drink_service
49,11,2,0,1,1,0.6,food_bev_stores
49,12,2,0,1,1,0.4,grocery_stores
49,21,2,0,1,1,-0.3,food_drink_service
49,11,2,0,1,0,-13.1,food_bev_stores
49,12,2,0,1,0,-10.1,grocery_stores
49,21,2,0,1,0,-11.5,food_drink_service
50,11,1,0,1,0,30778,food_bev_stores
50,11,1,0,1,1,32928,food_bev_stores
50,12,1,0,1,0,28191,grocery_stores
50,12,1,0,1,1,29990,grocery_stores
50,21,1,0,1,0,18439,food_drink_service
50,21,1,0,1,1,19742,food_drink_service
50,11,2,0,1,1,-0.5,food_bev_stores
50,12,2,0,1,1,-0.4,grocery_stores
50,21,2,0,1,1,0.9,food_drink_service
50,11,2,0,1,0,-3,food_bev_stores
50,12,2,0,1,0,-3.4,grocery_stores
50,21,2,0,1,0,4.5,food_drink_service
51,11,1,0,1,0,33060,food_bev_stores
51,11,1,0,1,1,33076,food_bev_stores
51,12,1,0,1,0,30245,grocery_stores
51,12,1,0,1,1,30125,grocery_stores
51,21,1,0,1,0,20259,food_drink_service
51,21,1,0,1,1,19862,food_drink_service
51,11,2,0,1,1,0.4,food_bev_stores
